Marca,Modelo,Ano,Quilometragem,Cor,Cambio,Combustivel,Portas,Valor_Venda
Renault,Duster,2013,195980,Vermelho,Manual,Gasolina,2,28630.0
Jeep,Compass,2005,164835,Cinza,Manual,Diesel,4,68294.0
Toyota,Corolla,2004,33124,Preto,Automático,Flex,2,74572.2
Chevrolet,Onix,2004,198301,Azul,Automático,Diesel,4,16784.800000000003
Toyota,Hilux,2018,133662,Cinza,Manual,Gasolina,2,80829.6
Jeep,Compass,2018,161942,Azul,Automático,Flex,2,86114.6
Nissan,Versa,2005,9534,Vermelho,Manual,Diesel,4,71097.2
Renault,Sandero,2009,7921,Cinza,Manual,Diesel,4,61180.8
Renault,Duster,2022,132763,Vermelho,Manual,Diesel,2,55918.399999999994
Volkswagen,Polo,2013,42042,Preto,Automático,Gasolina,2,64994.6
Renault,Sandero,2016,51209,Branco,Manual,Diesel,2,64876.2
Ford,Ranger,2002,199512,Vermelho,Manual,Gasolina,4,26496.6
Renault,Duster,2000,53603,Branco,Automático,Flex,2,36782.4
Jeep,Compass,2009,44377,Vermelho,Automático,Flex,4,91976.6
Volkswagen,Gol,2002,39705,Cinza,Automático,Diesel,4,42834.0
Jeep,Compass,2004,96492,Branco,Manual,Gasolina,4,80884.6
Jeep,Compass,2018,149836,Vermelho,Manual,Diesel,4,87916.79999999999
Fiat,Toro,2009,15783,Azul,Manual,Flex,4,56769.4
Volkswagen,Virtus,2015,8515,Vermelho,Manual,Gasolina,4,74113.0
Jeep,Compass,2000,133142,Branco,Manual,Flex,4,59231.600000000006
Fiat,Mobi,2005,82850,Azul,Automático,Flex,4,1241962.0
Fiat,Cronos,2008,144843,Vermelho,Automático,Gasolina,2,27345.4
Volkswagen,Gol,2004,96776,Branco,Manual,Gasolina,2,36198.8
Toyota,Corolla,2013,64206,Preto,Manual,Gasolina,4,82715.8
Nissan,Frontier,2009,83364,Prata,Manual,Diesel,2,63713.2
Ford,Ranger,2001,110532,Preto,Manual,Diesel,4,42514.600000000006
Nissan,Versa,2004,118090,Branco,Manual,Gasolina,4,46818.0
Renault,Kwid,2000,20936,Cinza,Manual,Gasolina,4,47364.8
Ford,Ka,2009,91618,Cinza,Manual,Diesel,4,59537.4
Renault,Kwid,2021,148977,Prata,Manual,Gasolina,4,51589.6
Jeep,Compass,2008,134170,Branco,Automático,Flex,4,71739.0
Chevrolet,Tracker,2002,27020,Azul,Automático,Gasolina,4,53107.0
Volkswagen,Polo,2014,188344,Vermelho,Manual,Diesel,4,35527.200000000004
Ford,EcoSport,2003,122043,Preto,Manual,Gasolina,4,43653.399999999994
Ford,Ranger,2012,182411,Azul,Manual,Gasolina,2,43694.8
Jeep,Renegade,2005,10985,Preto,Automático,Flex,2,92111.0
Toyota,Yaris,2019,139355,Prata,Automático,Gasolina,2,1241962.0
Fiat,Argo,2016,129100,Prata,Manual,Diesel,2,47407.0
Jeep,Renegade,2022,119635,Prata,Manual,Diesel,4,95689.0
Honda,Civic,2004,46323,Azul,Manual,Flex,4,71413.4
Fiat,Toro,2014,37708,Azul,Manual,Flex,4,61436.4
Volkswagen,Gol,2007,70298,Prata,Manual,Diesel,2,45340.4
Fiat,Cronos,2004,100057,Azul,Automático,Gasolina,2,29858.6
Toyota,Hilux,2023,5054,Prata,Manual,Diesel,2,108788.2
Fiat,Cronos,2012,119580,Azul,Manual,Flex,2,39353.0
Volkswagen,T-Cross,2000,71317,Prata,Automático,Diesel,2,39861.600000000006
Toyota,Hilux,2000,63304,Vermelho,Manual,Flex,4,66667.2
Nissan,Versa,2006,16471,Vermelho,Automático,Diesel,4,67930.8
Ford,Ranger,2021,101266,Preto,Automático,Gasolina,4,66319.8
Ford,EcoSport,2004,125022,Preto,Automático,Gasolina,2,43450.6
Renault,Sandero,2013,170750,Prata,Manual,Flex,4,34382.0
Nissan,Kicks,2014,185397,Preto,Automático,Gasolina,2,45289.6
Nissan,Kicks,2020,26527,Azul,Automático,Flex,4,86149.6
Fiat,Mobi,2016,43250,Prata,Automático,Gasolina,2,60615.0
Ford,Ranger,2023,119917,Vermelho,Manual,Diesel,4,73225.6
Volkswagen,Polo,2017,12029,Cinza,Automático,Gasolina,2,78086.2
Hyundai,HB20S,2006,41583,Vermelho,Automático,Diesel,4,57446.4
Hyundai,Creta,2021,102061,Branco,Manual,Flex,2,63935.8
Toyota,Hilux,2017,103100,Vermelho,Manual,Gasolina,4,88353.0
Ford,Ka,2018,68147,Branco,Automático,Gasolina,4,69083.6
Ford,Ranger,2019,139425,Preto,Automático,Diesel,4,63080.0
Hyundai,HB20,2006,190408,Vermelho,Automático,Flex,2,28124.4
Ford,EcoSport,2007,43042,Cinza,Manual,Gasolina,2,62327.6
Fiat,Toro,2012,93125,Azul,Manual,Flex,4,50302.0
Honda,HR-V,2017,172068,Vermelho,Manual,Flex,4,70215.4
Chevrolet,Onix,2023,76604,Azul,Manual,Gasolina,4,66994.2
Nissan,Frontier,2010,55918,Vermelho,Manual,Diesel,2,65591.4
Renault,Duster,,122225,Vermelho,Automático,Flex,2,36883.0
Toyota,Corolla,2022,68882,Azul,Automático,Flex,4,103593.6
Honda,HR-V,2000,36822,Azul,Manual,Gasolina,4,67911.6
Hyundai,HB20,2021,48760,Prata,Automático,Flex,2,75541.0
Nissan,Kicks,2007,erro_medicao,Vermelho,Manual,Gasolina,2,72574.0
Ford,EcoSport,2020,47259,Vermelho,Automático,Flex,2,83338.2
Renault,Sandero,2011,8527,Cinza,Automático,Diesel,4,66787.6
Ford,Ka,2001,10535,Azul,Manual,Diesel,2,60898.0
Volkswagen,T-Cross,2014,149016,Azul,Manual,Diesel,2,40768.8
Volkswagen,Gol,2020,171362,Branco,Automático,Diesel,4,41894.6
Renault,Sandero,2023,111477,Branco,Automático,Gasolina,2,62652.6
Renault,Duster,2017,12438,Azul,Automático,Gasolina,2,72517.4
Hyundai,HB20,2016,64344,Cinza,Automático,Gasolina,4,63566.2
Renault,Kwid,2014,189077,Preto,Manual,Gasolina,2,26932.6
Fiat,Cronos,2019,120127,Vermelho,Automático,Gasolina,4,55797.600000000006
Ford,EcoSport,2019,70388,Preto,Manual,Diesel,4,72096.4
Honda,HR-V,2008,72249,Cinza,Automático,Flex,4,70001.2
Jeep,Compass,2002,61083,Preto,Manual,Flex,4,80197.4
Renault,Duster,2019,199791,Branco,Manual,Diesel,2,39535.8
Toyota,Hilux,2018,31354,Prata,Manual,Diesel,4,104733.2
Volkswagen,Virtus,2017,124365,Preto,Automático,Gasolina,2,50386.0
Fiat,Argo,2019,149865,Prata,Automático,Gasolina,2,50216.0
Nissan,Kicks,2007,168138,Preto,Manual,Flex,2,42915.4
Jeep,Compass,2000,71135,Cinza,Automático,Flex,2,73325.0
Honda,Civic,2023,163843,Prata,Manual,Gasolina,4,80074.4
Jeep,Compass,2023,144512,Preto,Manual,Gasolina,2,93880.6
Renault,Sandero,2014,11289,Cinza,Manual,Diesel,2,67165.2
Hyundai,Creta,2018,109344,Azul,Manual,Gasolina,2,64672.2
Volkswagen,Gol,2009,111568,Branco,Manual,Diesel,4,37311.4
Volkswagen,T-Cross,2011,49178,Vermelho,Automático,Gasolina,2,58190.4
Nissan,Kicks,2005,66500,Cinza,Manual,Flex,2,55597.0
Hyundai,HB20S,2012,117784,Cinza,Automático,Diesel,2,47255.2
Ford,EcoSport,2003,49223,Branco,Automático,Flex,2,49935.4
Chevrolet,Onix Plus,2012,erro_medicao,Prata,Automático,Diesel,4,37734.8
Fiat,Toro,2016,145256,Preto,Manual,Diesel,4,45708.8
Volkswagen,Polo,,68483,Prata,Automático,Flex,4,40971.4
Toyota,Corolla,2004,119178,Cinza,Automático,Flex,4,57436.4
Volkswagen,Polo,2023,144228,Azul,Automático,Gasolina,4,58278.399999999994
Jeep,Compass,2016,133483,Preto,Automático,Diesel,2,89809.4
Volkswagen,Gol,2017,15674,Vermelho,Manual,Gasolina,4,67885.2
Volkswagen,Virtus,2006,139380,Vermelho,Automático,Diesel,4,27850.0
Chevrolet,Tracker,2015,108707,Preto,Automático,Gasolina,2,51957.600000000006
Chevrolet,Onix,2007,68460,Cinza,Manual,Flex,4,53106.0
Honda,Fit,2011,576,Azul,Automático,Flex,2,91612.8
Ford,Ranger,2013,145713,Branco,Automático,Gasolina,4,52644.4
Toyota,Yaris,2018,98264,Azul,Automático,Flex,2,92014.2
Volkswagen,T-Cross,2010,50907,Prata,Automático,Gasolina,2,54815.6
Volkswagen,Virtus,2011,172211,Azul,Automático,Diesel,4,32443.799999999996
Fiat,Cronos,2012,84325,Azul,Manual,Diesel,2,53243.0
Chevrolet,Tracker,2007,39651,Prata,Automático,Flex,4,51551.8
Toyota,Yaris,2000,erro_medicao,Branco,Automático,Flex,4,43961.6
Nissan,Kicks,2008,93435,Branco,Manual,Flex,4,57625.0
Honda,Civic,2001,146730,Vermelho,Automático,Diesel,4,47913.0
Ford,EcoSport,2013,38907,Branco,Automático,Gasolina,2,70639.6
Hyundai,Creta,2012,63917,Preto,Automático,Flex,2,64068.6
Ford,Ka,2015,162819,Vermelho,Manual,Gasolina,2,48670.2
Jeep,Compass,2001,183212,Cinza,Automático,Flex,2,57597.600000000006
Volkswagen,Gol,2003,54936,Vermelho,Automático,Flex,2,40557.8
Honda,Fit,2011,26178,Azul,Automático,Flex,4,81933.4
Jeep,Compass,2015,130614,Azul,Automático,Gasolina,2,87500.2
Toyota,Corolla,2009,99423,Vermelho,Automático,Gasolina,2,70260.4
Hyundai,Creta,2002,198822,Prata,Manual,Gasolina,2,22856.6
Chevrolet,Onix,2003,8000,Branco,Automático,Diesel,2,53341.0
Honda,HR-V,2005,139137,Azul,Manual,Diesel,2,50591.6
Honda,HR-V,2022,193476,Azul,Automático,Diesel,4,71686.8
Volkswagen,Polo,2004,108407,Preto,Automático,Gasolina,2,34744.600000000006
Renault,Duster,2017,132157,Branco,Automático,Diesel,4,43180.6
Honda,Fit,2002,49325,Azul,Manual,Flex,4,67086.0
Fiat,Cronos,2009,111868,Prata,Manual,Gasolina,2,34537.4
Hyundai,HB20,2010,193135,Azul,Automático,Flex,4,33792.0
Hyundai,HB20S,2018,148694,Branco,Automático,Flex,2,52528.2
Fiat,Argo,2013,126190,Preto,Manual,Gasolina,2,40561.0
Nissan,Versa,2020,63902,Branco,Manual,Flex,2,80077.6
Fiat,Cronos,2010,4834,Prata,Manual,Gasolina,2,66445.2
Fiat,Toro,2020,85733,Preto,Automático,Diesel,2,58603.399999999994
Hyundai,HB20,2003,12008,Branco,Manual,Gasolina,2,58412.4
Ford,EcoSport,2023,78498,Prata,Manual,Gasolina,4,74553.4
Hyundai,HB20S,2021,47229,Prata,Manual,Flex,2,73540.2
Renault,Kwid,2005,112892,Vermelho,Manual,Flex,4,36553.600000000006
Volkswagen,T-Cross,2016,139084,Azul,Automático,Flex,4,44554.2
Jeep,Compass,2021,51125,Preto,Manual,Flex,2,111547.0
Ford,EcoSport,2018,85702,Preto,Manual,Flex,4,72317.6
Chevrolet,Onix,2012,84164,Azul,Automático,Flex,4,50373.2
Jeep,Compass,2021,140921,Branco,Manual,Flex,4,90684.8
Volkswagen,Virtus,2009,172444,Vermelho,Automático,Flex,4,31176.200000000004
Renault,Duster,2010,13767,Preto,Manual,Flex,2,61592.6
Renault,Duster,2005,171061,Prata,Automático,Gasolina,2,25250.799999999996
Chevrolet,S10,2001,171654,Preto,Manual,Flex,4,17939.199999999997
Ford,Ranger,2000,175442,Vermelho,Automático,Flex,2,27479.6
Nissan,Kicks,2010,45052,Azul,Automático,Gasolina,2,67080.6
Fiat,Mobi,2015,99427,Cinza,Automático,Diesel,4,53613.6
Ford,EcoSport,2002,176361,Azul,Automático,Diesel,4,32329.800000000003
Nissan,Frontier,2004,130591,Prata,Automático,Gasolina,2,40724.8
Renault,Duster,2014,152637,Preto,Automático,Diesel,2,38825.6
Hyundai,Creta,2014,184236,Azul,Manual,Flex,4,44006.8
Volkswagen,Gol,2003,100547,Prata,Automático,Flex,2,30267.600000000006
Chevrolet,Onix Plus,2022,68125,Branco,Automático,Flex,4,72475.0
Volkswagen,T-Cross,2003,50281,Prata,Automático,Diesel,2,45955.8
Toyota,Yaris,2007,189060,Preto,Automático,Gasolina,4,53373.0
Toyota,Yaris,2006,75285,Branco,Manual,Flex,4,72574.0
Ford,Ka,2016,23423,Branco,Automático,Gasolina,4,75876.4
Renault,Duster,2014,84693,Branco,Manual,Gasolina,2,51508.4
Renault,Duster,2004,88860,Cinza,Automático,Flex,2,39531.0
Fiat,Cronos,2012,1706,Cinza,Manual,Gasolina,4,62812.8
Fiat,Mobi,2003,51753,Branco,Manual,Gasolina,4,37352.4
Fiat,Cronos,2021,93755,Azul,Manual,Flex,2,60425.0
Hyundai,Creta,2016,41334,Azul,Automático,Gasolina,2,71812.2
Jeep,Compass,2021,67148,Azul,Manual,Diesel,4,103933.4
Honda,Civic,2016,102601,Preto,Automático,Flex,2,77188.8
Jeep,Compass,2013,50627,Branco,Automático,Flex,4,101344.6
Volkswagen,Polo,2013,15546,Azul,Automático,Flex,4,70115.8
Jeep,Compass,2016,179807,Branco,Manual,Flex,4,78100.6
Hyundai,Creta,,74581,Prata,Manual,Flex,2,54514.8
Volkswagen,Polo,2001,156371,Azul,Automático,Flex,2,19631.8
Jeep,Renegade,2012,197999,Prata,Manual,Flex,4,65712.20000000001
Hyundai,HB20,,43347,Prata,Automático,Diesel,2,81395.6
Honda,HR-V,,41221,Azul,Manual,Gasolina,2,86913.8
Jeep,Compass,2015,171848,Vermelho,Automático,Diesel,4,77445.4
Hyundai,HB20S,2005,98203,Prata,Automático,Gasolina,2,39359.399999999994
Fiat,Argo,2021,15948,Azul,Manual,Flex,4,71829.4
Renault,Duster,2023,25118,Prata,Manual,Diesel,4,71838.4
Fiat,Toro,2003,103729,Preto,Automático,Flex,4,28230.2
Renault,Kwid,2002,126677,Cinza,Manual,Gasolina,4,21676.6
Chevrolet,Onix,2005,17021,Cinza,Manual,Diesel,2,54419.8
Chevrolet,Tracker,2003,189036,Cinza,Manual,Diesel,2,19547.800000000003
Chevrolet,Tracker,2017,48215,Vermelho,Manual,Gasolina,4,71048.0
Honda,Civic,2005,1223,Branco,Manual,Gasolina,2,82518.4
Fiat,Mobi,2004,167182,Prata,Automático,Diesel,2,16093.600000000006
Renault,Kwid,2008,90162,Preto,Manual,Diesel,4,40114.6
Hyundai,Creta,2010,96453,Vermelho,Manual,Diesel,4,48411.399999999994
Volkswagen,T-Cross,2005,21526,Cinza,Manual,Gasolina,2,57963.8
Hyundai,HB20S,2015,38829,Vermelho,Manual,Flex,2,66365.2
Volkswagen,Gol,2018,51862,Preto,Automático,Diesel,4,62473.600000000006
Toyota,Hilux,2010,127048,Azul,Manual,Gasolina,4,72435.4
Hyundai,HB20S,2020,151408,Vermelho,Automático,Diesel,4,58805.4
Jeep,Renegade,2014,30796,Cinza,Manual,Gasolina,2,109388.8
Jeep,Renegade,2023,erro_medicao,Branco,Automático,Diesel,2,89471.2
Ford,EcoSport,2008,197488,Cinza,Manual,Gasolina,4,29372.4
Fiat,Cronos,2023,16818,Cinza,Manual,Gasolina,2,76382.4
Volkswagen,Gol,2018,169964,Cinza,Manual,Diesel,2,47661.2
Volkswagen,T-Cross,2018,24488,Vermelho,Manual,Gasolina,2,69299.4
Fiat,Cronos,2023,169024,Preto,Automático,Gasolina,2,49888.2
Honda,Fit,2008,83904,Cinza,Manual,Gasolina,4,1241962.0
Ford,Ka,2022,144295,Azul,Automático,Gasolina,2,62743.0
Honda,Fit,2003,192529,Vermelho,Automático,Gasolina,2,45044.2
Honda,Civic,2009,96931,Preto,Manual,Gasolina,4,73082.8
Honda,Fit,2008,161333,Branco,Automático,Gasolina,4,57974.4
Fiat,Argo,2018,191038,Cinza,Automático,Gasolina,4,32167.399999999994
Honda,HR-V,2014,75520,Prata,Manual,Diesel,4,75918.0
Jeep,Compass,2018,68334,Vermelho,Manual,Gasolina,4,101005.2
Chevrolet,Onix,2001,138675,Azul,Manual,Flex,2,21793.999999999996
Toyota,Corolla,2009,111587,Branco,Manual,Diesel,2,70557.6
Volkswagen,Gol,2018,77240,Branco,Manual,Diesel,2,56944.0
Volkswagen,Polo,2016,34261,Branco,Manual,Flex,4,65664.8
Toyota,Hilux,2019,117367,Vermelho,Manual,Gasolina,4,89311.6
Fiat,Cronos,2023,15707,Preto,Automático,Flex,2,84047.6
Hyundai,HB20S,2020,18009,Prata,Automático,Flex,4,82522.2
Fiat,Argo,2001,190835,Azul,Manual,Flex,4,13834.0
Volkswagen,Polo,2018,52169,Preto,Automático,Diesel,2,70241.2
Volkswagen,Gol,2016,18231,Cinza,Automático,Gasolina,2,70276.8
Toyota,Hilux,2017,3246,Prata,Automático,Diesel,2,108272.8
Honda,Fit,2016,189954,Preto,Manual,Gasolina,4,56095.2
Fiat,Cronos,2001,29825,Cinza,Automático,Flex,2,43019.0
Renault,Duster,2018,146997,Prata,Manual,Diesel,4,41243.6
Toyota,Corolla,2000,1316,Vermelho,Automático,Gasolina,2,83646.8
Jeep,Renegade,2010,190135,Azul,Manual,Gasolina,2,66805.0
Volkswagen,Polo,2009,83870,Azul,Automático,Flex,2,43955.0
Toyota,Yaris,2004,96608,Cinza,Automático,Diesel,2,64147.399999999994
Fiat,Toro,2015,114911,Preto,Manual,Diesel,2,49113.8
Volkswagen,Virtus,2023,133098,Prata,Automático,Diesel,2,55128.399999999994
Hyundai,Creta,2004,198155,Cinza,Manual,Diesel,4,16951.0
Toyota,Hilux,2023,15289,Cinza,Manual,Diesel,4,110561.2
Ford,EcoSport,2022,102082,Vermelho,Manual,Diesel,4,68455.6
Volkswagen,Gol,2011,48886,Cinza,Automático,Diesel,4,54105.8
Fiat,Toro,2003,65020,Prata,Automático,Flex,4,42660.0
Chevrolet,Tracker,2022,39279,Branco,Manual,Gasolina,4,75865.2
Renault,Duster,2005,106061,Prata,Manual,Flex,4,37971.8
Nissan,Kicks,2018,85643,Prata,Manual,Gasolina,2,77187.4
Honda,HR-V,2008,99827,Vermelho,Automático,Gasolina,2,68931.6
Nissan,Frontier,2011,128089,Vermelho,Automático,Gasolina,4,51976.2
Fiat,Mobi,2014,158351,Azul,Manual,Diesel,4,36336.8
Jeep,Renegade,2015,149428,Azul,Automático,Diesel,2,82101.4
Jeep,Compass,2012,193607,Cinza,Automático,Gasolina,4,66573.6
Chevrolet,Onix Plus,2020,65200,Azul,Manual,Gasolina,4,73280.0
Honda,Fit,2023,161115,Vermelho,Manual,Diesel,2,77448.0
Ford,EcoSport,2006,95502,Cinza,Automático,Diesel,2,47204.600000000006
Chevrolet,Onix Plus,2022,143867,Branco,Manual,Gasolina,4,56830.600000000006
Nissan,Frontier,2019,82536,Preto,Manual,Gasolina,4,80589.8
Chevrolet,Onix,2003,192585,Vermelho,Automático,Flex,2,14637.0
Nissan,Frontier,2010,153230,Vermelho,Manual,Diesel,2,49335.0
Volkswagen,Polo,2007,179702,Branco,Manual,Diesel,4,29338.6
Jeep,Renegade,2005,19005,Vermelho,Automático,Gasolina,2,95209.0
Volkswagen,Virtus,2009,110737,Azul,Manual,Flex,4,40125.600000000006
Renault,Kwid,2006,84013,Azul,Automático,Diesel,4,38642.399999999994
Honda,Civic,2006,171324,Azul,Manual,Flex,2,51504.2
Ford,Ka,2003,45176,Branco,Automático,Flex,2,58337.8
Nissan,Frontier,2002,115754,Cinza,Automático,Diesel,4,41951.2
Ford,Ranger,2023,131777,Vermelho,Manual,Gasolina,2,66996.6
Nissan,Frontier,2006,51510,Vermelho,Manual,Flex,4,67685.0
Fiat,Cronos,2003,46293,Azul,Manual,Gasolina,2,41145.4
Chevrolet,Tracker,2012,118222,Cinza,Automático,Diesel,2,42808.600000000006
Renault,Sandero,2019,126947,Vermelho,Automático,Flex,4,54180.6
Jeep,Renegade,2016,44420,Prata,Manual,Gasolina,4,108694.0
Nissan,Versa,2006,151224,Branco,Manual,Flex,4,41189.2
Ford,EcoSport,2016,97391,Preto,Automático,Flex,4,68893.8
Renault,Kwid,2003,erro_medicao,Prata,Manual,Flex,2,1241962.0
Hyundai,Creta,2010,186202,Preto,Automático,Diesel,4,28545.6
Hyundai,HB20,,198927,Prata,Manual,Gasolina,2,20017.6
Volkswagen,T-Cross,2010,60216,Prata,Manual,Flex,4,51175.8
Jeep,Compass,2002,73699,Prata,Manual,Gasolina,2,80518.2
Fiat,Cronos,2011,209,Branco,Automático,Diesel,2,66157.2
Ford,Ranger,2000,135906,Preto,Manual,Flex,2,29591.800000000003
Chevrolet,S10,2003,162584,Cinza,Automático,Flex,4,21025.2
Chevrolet,Tracker,2013,62485,Cinza,Automático,Flex,2,63819.0
Ford,EcoSport,2000,183031,Azul,Manual,Gasolina,4,25562.799999999996
Honda,HR-V,2013,69498,Vermelho,Manual,Gasolina,4,83208.4
Fiat,Mobi,2012,erro_medicao,Branco,Automático,Flex,2,41620.0
Renault,Kwid,2012,51542,Azul,Manual,Gasolina,4,53933.6
Nissan,Versa,2023,152975,Azul,Manual,Gasolina,2,65530.0
Honda,Civic,2014,142789,Branco,Automático,Flex,2,63913.20000000001
Nissan,Kicks,2016,30545,Branco,Manual,Flex,4,83440.0
Nissan,Frontier,2011,35212,Prata,Automático,Flex,4,70803.6
Honda,HR-V,2021,109079,Branco,Automático,Diesel,4,88990.2
Volkswagen,Gol,2022,41100,Cinza,Automático,Flex,2,69793.0
Hyundai,HB20,2013,127215,Branco,Automático,Flex,2,53420.0
Nissan,Frontier,2011,188707,Prata,Automático,Flex,4,40584.6
Honda,HR-V,2017,52016,Preto,Manual,Flex,4,93696.8
Honda,Civic,2003,166447,Azul,Automático,Flex,2,46717.6
Toyota,Hilux,2013,151392,Branco,Automático,Flex,4,68373.6
Volkswagen,Virtus,2018,19301,Azul,Manual,Flex,4,70700.8
Jeep,Renegade,2012,182442,Preto,Automático,Flex,2,68413.6
Toyota,Corolla,2022,83717,Vermelho,Automático,Diesel,4,99852.6
Toyota,Yaris,2017,9168,Prata,Manual,Gasolina,2,106582.4
Ford,Ka,2010,68109,Azul,Manual,Diesel,2,62098.2
Hyundai,Creta,2005,18973,Branco,Manual,Diesel,4,54563.4
Honda,Civic,2008,167123,Vermelho,Automático,Flex,2,48783.4
Hyundai,HB20,2011,173831,Vermelho,Automático,Flex,4,33923.8
Fiat,Argo,2018,93059,Preto,Automático,Flex,2,59497.2
Ford,Ranger,2013,99017,Azul,Manual,Flex,2,62490.600000000006
Jeep,Compass,2014,198498,Azul,Automático,Gasolina,4,68122.4
Hyundai,HB20S,2010,151023,Cinza,Automático,Gasolina,2,42536.4
Chevrolet,Tracker,2005,162377,Cinza,Automático,Diesel,4,22569.6
