Marca,Modelo,Ano,Quilometragem,Cor,Cambio,Combustivel,Portas,Valor_Venda,idade_carro
Toyota,Hilux,2000,82581,Azul,Automático,Diesel,2,65576.8,26
Chevrolet,Onix,2000,27734,Vermelho,Automático,Diesel,4,43092.2,26
Volkswagen,Gol,2000,60335,Cinza,Automático,Gasolina,4,39005.0,26
Nissan,Versa,2000,19481,Branco,Manual,Gasolina,2,64658.8,26
Hyundai,Creta,2000,64777,Cinza,Automático,Gasolina,2,46555.6,26
Nissan,Frontier,2000,29067,Preto,Manual,Gasolina,4,57294.6,26
Nissan,Frontier,2000,105287,Prata,Automático,Gasolina,2,45263.6,26
Hyundai,HB20S,2000,23593,Azul,Manual,Gasolina,2,54541.4,26
Ford,Ranger,2000,84724,Preto,Manual,Gasolina,2,43111.2,26
Volkswagen,Gol,2000,11804,Azul,Automático,Gasolina,4,45245.2,26
Hyundai,HB20,2000,198504,Azul,Automático,Diesel,2,10549.200000000004,26
Nissan,Kicks,2000,198632,Preto,Automático,Gasolina,4,21502.6,26
Volkswagen,Virtus,2000,134928,Branco,Automático,Flex,4,18753.4,26
Toyota,Corolla,2000,34726,Azul,Automático,Flex,2,77981.8,26
Jeep,Compass,2000,104983,Azul,Automático,Diesel,2,71686.4,26
Fiat,Argo,2000,77848,Azul,Manual,Gasolina,4,36334.4,26
Chevrolet,S10,2000,15416,Cinza,Manual,Flex,2,44885.8,26
Volkswagen,Polo,2000,112958,Preto,Automático,Flex,2,30026.4,26
Fiat,Argo,2000,4847,Cinza,Manual,Flex,4,46133.6,26
Nissan,Kicks,2000,110581,Azul,Manual,Flex,4,38278.8,26
Ford,EcoSport,2000,53250,Vermelho,Manual,Flex,4,52297.0,26
Chevrolet,Tracker,2000,19560,Prata,Automático,Diesel,2,47190.0,26
Ford,Ranger,2000,188939,Cinza,Manual,Gasolina,4,26429.200000000004,26
Hyundai,HB20S,2000,65738,Azul,Automático,Gasolina,2,45786.4,26
Nissan,Kicks,2000,145879,Azul,Manual,Diesel,2,34246.2,26
Ford,EcoSport,2000,150243,Preto,Manual,Diesel,4,34416.4,26
Ford,EcoSport,2000,29579,Vermelho,Manual,Flex,2,51582.2,26
Volkswagen,Polo,2000,132055,Vermelho,Manual,Diesel,4,24638.0,26
Nissan,Versa,2000,19378,Branco,Automático,Diesel,4,65334.4,26
Nissan,Kicks,2000,156042,Branco,Manual,Flex,4,34710.6,26
Ford,Ka,2000,153514,Prata,Automático,Gasolina,4,31627.2,26
Nissan,Frontier,2000,150790,Cinza,Manual,Flex,2,39132.0,26
Volkswagen,Polo,2000,133270,Azul,Automático,Diesel,2,25754.0,26
Chevrolet,Onix Plus,2000,153401,Cinza,Automático,Diesel,2,26213.8,26
Chevrolet,S10,2000,162181,Prata,Manual,Gasolina,2,16130.8,26
Jeep,Renegade,2000,72593,Vermelho,Manual,Gasolina,2,75623.4,26
Jeep,Renegade,2000,80729,Azul,Manual,Gasolina,4,75647.2,26
Renault,Duster,2000,20420,Preto,Automático,Gasolina,2,38887.0,26
Jeep,Renegade,2000,17564,Azul,Manual,Flex,2,86380.2,26
Volkswagen,Gol,2000,79229,Preto,Automático,Diesel,4,36908.2,26
Toyota,Corolla,2000,47188,Azul,Manual,Diesel,2,71999.4,26
Honda,HR-V,2000,58738,Branco,Manual,Flex,2,67582.4,26
Fiat,Toro,2000,198750,Azul,Manual,Flex,4,10000.0,26
Volkswagen,T-Cross,2000,18014,Azul,Automático,Flex,2,48030.2,26
Toyota,Corolla,2000,107549,Vermelho,Manual,Gasolina,2,58276.2,26
Toyota,Corolla,2000,47526,Branco,Automático,Flex,2,67647.8,26
Honda,Fit,2000,60555,Vermelho,Automático,Gasolina,2,58584.0,26
Renault,Sandero,2000,47156,Branco,Automático,Gasolina,2,41905.8,26
Volkswagen,Polo,2000,128260,Branco,Automático,Diesel,2,24002.0,26
Fiat,Cronos,2000,54219,Azul,Automático,Gasolina,2,33704.2,26
Fiat,Cronos,2000,179275,Branco,Automático,Flex,2,16279.0,26
Nissan,Versa,2000,89450,Prata,Manual,Flex,4,50326.0,26
Hyundai,HB20S,2000,77969,Branco,Manual,Diesel,2,40184.2,26
Ford,EcoSport,2000,133225,Preto,Manual,Flex,2,29914.0,26
Hyundai,Creta,2000,94447,Branco,Automático,Gasolina,4,33812.6,26
Toyota,Corolla,2000,53416,Preto,Manual,Diesel,2,69174.8,26
Volkswagen,Gol,2000,94971,Branco,Automático,Diesel,4,26455.8,26
Renault,Sandero,2000,170470,Azul,Automático,Flex,2,10000.0,26
Ford,Ka,2000,19201,Vermelho,Manual,Diesel,2,57662.8,26
Chevrolet,S10,2000,60245,Preto,Automático,Diesel,2,44801.0,26
Honda,Civic,2000,146401,Azul,Automático,Diesel,2,47331.8,26
Jeep,Renegade,2000,61001,Prata,Automático,Gasolina,2,74420.8,26
Renault,Duster,2000,13886,Vermelho,Manual,Gasolina,4,44159.8,26
Fiat,Toro,2000,72433,Preto,Automático,Diesel,2,31099.399999999998,26
Nissan,Kicks,2000,55818,Branco,Manual,Flex,2,49788.4,26
Chevrolet,S10,2000,98878,Cinza,Automático,Flex,2,28620.4,26
Hyundai,HB20S,2000,70313,Cinza,Manual,Flex,2,43109.4,26
Renault,Duster,2000,102776,Preto,Automático,Gasolina,4,23408.8,26
Hyundai,HB20,2000,22627,Azul,Automático,Flex,2,53804.6,26
Nissan,Frontier,2000,75691,Branco,Manual,Diesel,4,46305.8,26
Ford,EcoSport,2000,95650,Azul,Automático,Flex,4,39647.0,26
Toyota,Hilux,2000,177176,Branco,Manual,Flex,2,39927.8,26
Hyundai,HB20S,2000,29898,Branco,Automático,Flex,4,52815.4,26
Volkswagen,Virtus,2000,109950,Vermelho,Automático,Gasolina,2,26588.0,26
Chevrolet,S10,2000,162381,Azul,Manual,Diesel,4,16523.8,26
Hyundai,HB20,2000,29036,Azul,Manual,Gasolina,2,48811.8,26
Hyundai,Creta,2000,81083,Preto,Automático,Flex,2,43702.4,26
Honda,HR-V,2000,150258,Cinza,Manual,Gasolina,4,44800.4,26
Honda,Civic,2000,182735,Preto,Manual,Gasolina,4,42219.0,26
Volkswagen,Gol,2000,1821,Prata,Manual,Flex,2,51387.8,26
Volkswagen,Polo,2000,104567,Prata,Automático,Gasolina,4,27888.6,26
Jeep,Compass,2000,5694,Branco,Automático,Diesel,4,85903.2,26
Hyundai,HB20S,2000,193248,Preto,Automático,Gasolina,4,21225.4,26
Toyota,Yaris,2000,52647,Vermelho,Manual,Flex,2,70824.6,26
Nissan,Versa,2000,102346,Cinza,Manual,Flex,2,42436.8,26
Hyundai,HB20S,2000,34173,Preto,Manual,Diesel,4,50329.4,26
Chevrolet,S10,2000,148133,Prata,Automático,Flex,4,19081.4,26
Volkswagen,Polo,2000,5021,Cinza,Manual,Flex,2,49266.8,26
Jeep,Compass,2000,174492,Prata,Automático,Diesel,4,54628.6,26
Chevrolet,Onix,2000,47276,Cinza,Manual,Diesel,2,46759.8,26
Hyundai,HB20,2000,60967,Prata,Manual,Flex,2,46817.6,26
Chevrolet,Tracker,2000,62278,Preto,Automático,Gasolina,4,43873.4,26
Fiat,Toro,2000,197855,Cinza,Manual,Flex,4,10000.0,26
Honda,HR-V,2000,3809,Vermelho,Manual,Flex,4,76790.2,26
Hyundai,HB20,2000,29431,Prata,Manual,Diesel,2,50811.8,26
Fiat,Mobi,2000,50058,Preto,Automático,Gasolina,4,42503.4,26
Fiat,Cronos,2000,65324,Vermelho,Automático,Diesel,4,30823.2,26
Volkswagen,Polo,2000,32857,Prata,Manual,Gasolina,2,44259.6,26
Nissan,Versa,2000,141169,Azul,Manual,Diesel,4,40266.2,26
Fiat,Cronos,2000,46132,Vermelho,Automático,Diesel,2,35074.6,26
Hyundai,Creta,2000,24996,Prata,Manual,Flex,2,54502.8,26
Nissan,Kicks,2000,87158,Cinza,Automático,Gasolina,2,50605.4,26
Volkswagen,T-Cross,2000,80621,Branco,Manual,Gasolina,4,35154.8,26
Volkswagen,Gol,2000,43734,Cinza,Manual,Gasolina,2,44438.2,26
Nissan,Versa,2000,112102,Branco,Automático,Gasolina,2,39282.6,26
Jeep,Renegade,2000,106459,Vermelho,Automático,Flex,4,69817.2,26
Nissan,Frontier,2000,188749,Prata,Automático,Gasolina,2,28350.200000000004,26
Nissan,Kicks,2000,51575,Vermelho,Automático,Flex,4,51890.0,26
Honda,Civic,2000,81156,Branco,Manual,Diesel,2,55286.8,26
Volkswagen,Polo,2000,189333,Prata,Manual,Diesel,4,10000.0,26
Volkswagen,Virtus,2000,25282,Branco,Automático,Gasolina,4,43916.6,26
Toyota,Hilux,2000,195632,Prata,Automático,Gasolina,4,38702.6,26
Hyundai,Creta,2000,76262,Prata,Automático,Flex,4,35988.6,26
Nissan,Kicks,2000,73944,Azul,Automático,Gasolina,4,53377.2,26
Hyundai,HB20S,2000,5051,Vermelho,Manual,Diesel,4,55695.8,26
Hyundai,Creta,2000,18328,Branco,Automático,Gasolina,2,52727.4,26
Jeep,Compass,2000,97435,Azul,Manual,Gasolina,4,73750.0,26
Honda,HR-V,2000,1363,Prata,Automático,Gasolina,4,70016.4,26
Chevrolet,Onix,2000,6577,Azul,Manual,Flex,4,46397.6,26
Jeep,Compass,2000,146416,Vermelho,Manual,Flex,4,62561.8,26
Nissan,Kicks,2000,103027,Prata,Automático,Diesel,2,42411.6,26
Chevrolet,Onix,2000,143907,Preto,Manual,Flex,4,20636.6,26
Chevrolet,Onix,2000,159352,Branco,Automático,Diesel,4,20714.6,26
Toyota,Yaris,2000,153722,Branco,Manual,Diesel,4,46516.6,26
Fiat,Cronos,2000,133280,Azul,Manual,Gasolina,2,19458.0,26
Hyundai,Creta,2000,5910,Cinza,Manual,Diesel,2,55155.0,26
Ford,EcoSport,2000,95765,Cinza,Manual,Gasolina,4,38085.0,26
Toyota,Corolla,2000,197592,Branco,Manual,Flex,2,36034.6,26
Nissan,Versa,2000,68960,Preto,Manual,Flex,4,53064.0,26
Honda,Civic,2000,125660,Prata,Automático,Gasolina,2,50553.0,26
Nissan,Versa,2000,197761,Vermelho,Manual,Flex,4,24112.800000000003,26
Chevrolet,Onix Plus,2000,142076,Azul,Automático,Diesel,2,22604.800000000003,26
Renault,Sandero,2000,76511,Prata,Automático,Diesel,4,36260.8,26
Volkswagen,Virtus,2000,24401,Cinza,Automático,Gasolina,4,45848.8,26
Jeep,Renegade,2000,13967,Vermelho,Automático,Diesel,4,84160.6,26
Renault,Kwid,2000,113312,Cinza,Manual,Flex,4,20393.6,26
Chevrolet,Tracker,2000,79608,Cinza,Automático,Diesel,2,31591.4,26
Ford,EcoSport,2000,116327,Branco,Manual,Diesel,4,41365.6,26
Chevrolet,Onix Plus,2000,171037,Azul,Manual,Diesel,2,15965.6,26
Fiat,Mobi,2000,176199,Azul,Automático,Diesel,2,17084.199999999997,26
Chevrolet,Tracker,2000,189241,Branco,Manual,Gasolina,2,16463.799999999996,26
Fiat,Cronos,2000,112458,Prata,Automático,Gasolina,4,30402.4,26
Volkswagen,Virtus,2000,180176,Vermelho,Manual,Diesel,4,10295.800000000005,26
Honda,Fit,2000,114550,Cinza,Automático,Flex,4,48951.0,26
Honda,HR-V,2000,159772,Branco,Automático,Diesel,4,39003.600000000006,26
Toyota,Yaris,2000,184658,Prata,Manual,Flex,4,43071.4,26
Renault,Kwid,2000,65180,Vermelho,Automático,Diesel,2,32778.0,26
Hyundai,HB20S,2000,79423,Branco,Manual,Diesel,2,34288.4,26
Fiat,Mobi,2000,58323,Vermelho,Manual,Flex,4,31933.4,26
Nissan,Frontier,2000,133770,Branco,Automático,Flex,4,39175.0,26
Honda,Fit,2000,72750,Azul,Manual,Flex,2,62314.0,26
Honda,Civic,2000,178740,Prata,Manual,Gasolina,4,42403.0,26
Jeep,Compass,2000,166373,Azul,Automático,Flex,4,61173.4,26
Chevrolet,S10,2000,21366,Azul,Automático,Gasolina,4,49220.8,26
Jeep,Renegade,2000,60633,Preto,Manual,Gasolina,2,75397.4,26
Hyundai,Creta,2000,24982,Cinza,Manual,Flex,4,51791.6,26
Volkswagen,T-Cross,2000,120056,Branco,Automático,Diesel,4,27553.8,26
Volkswagen,Polo,2000,61157,Branco,Manual,Diesel,4,37177.6,26
Ford,Ka,2000,14744,Preto,Manual,Flex,2,60602.2,26
Volkswagen,Polo,2000,134141,Cinza,Automático,Flex,4,24190.800000000003,26
Hyundai,Creta,2000,120036,Vermelho,Manual,Gasolina,4,30601.8,26
Nissan,Versa,2000,137456,Vermelho,Automático,Flex,4,33448.8,26
Jeep,Compass,2000,115908,Branco,Manual,Diesel,4,67166.4,26
Fiat,Argo,2000,111234,Cinza,Automático,Diesel,4,25336.2,26
Nissan,Kicks,2000,69053,Cinza,Automático,Gasolina,2,55661.4,26
Fiat,Toro,2000,52238,Branco,Automático,Flex,2,35064.4,26
Renault,Kwid,2000,133404,Preto,Manual,Diesel,2,17093.2,26
Chevrolet,S10,2000,9271,Branco,Automático,Diesel,4,45916.8,26
Fiat,Mobi,2000,111925,Branco,Automático,Diesel,4,26146.0,26
Nissan,Kicks,2000,49775,Branco,Manual,Flex,4,53454.0,26
Renault,Kwid,2000,82056,Cinza,Manual,Diesel,4,29806.8,26
Volkswagen,T-Cross,2000,38554,Cinza,Automático,Flex,2,42639.2,26
Nissan,Frontier,2000,165635,Cinza,Automático,Gasolina,4,27461.0,26
Toyota,Corolla,2000,93207,Branco,Manual,Flex,2,64746.600000000006,26
Renault,Sandero,2000,100488,Branco,Automático,Flex,4,24125.4,26
Honda,Civic,2000,92519,Azul,Automático,Gasolina,4,58024.2,26
Hyundai,HB20S,2000,130180,Azul,Manual,Gasolina,2,25867.0,26
Hyundai,HB20S,2000,9627,Azul,Manual,Gasolina,2,54997.6,26
Ford,Ka,2000,138667,Preto,Automático,Gasolina,2,29484.6,26
Hyundai,HB20S,2000,29227,Prata,Manual,Gasolina,2,46982.6,26
Volkswagen,Gol,2000,61262,Cinza,Manual,Gasolina,4,38531.6,26
Hyundai,HB20,2000,193378,Prata,Manual,Gasolina,4,20321.4,26
Honda,Fit,2000,95009,Branco,Manual,Gasolina,4,57793.2,26
Fiat,Toro,2000,90236,Prata,Automático,Gasolina,2,27089.8,26
Fiat,Argo,2000,155934,Prata,Manual,Diesel,2,16070.2,26
Nissan,Kicks,2000,162175,Prata,Manual,Gasolina,4,33641.0,26
Hyundai,HB20,2000,189291,Cinza,Manual,Diesel,4,20014.800000000003,26
Jeep,Compass,2000,187720,Preto,Manual,Diesel,4,57193.0,26
Chevrolet,Onix,2000,25698,Azul,Automático,Gasolina,4,47758.4,26
Toyota,Corolla,2000,58327,Branco,Automático,Diesel,4,65896.6,26
Honda,Fit,2000,186254,Azul,Manual,Gasolina,2,41289.2,26
Fiat,Cronos,2000,58081,Branco,Automático,Flex,2,37714.8,26
Toyota,Hilux,2000,136046,Branco,Automático,Diesel,4,48916.8,26
Jeep,Compass,2000,13699,Cinza,Manual,Flex,4,90189.2,26
Ford,EcoSport,2000,141295,Azul,Automático,Diesel,2,27996.000000000004,26
Fiat,Mobi,2000,46887,Vermelho,Manual,Diesel,4,38192.6,26
Toyota,Hilux,2000,198737,Preto,Automático,Flex,4,39089.6,26
Chevrolet,Onix,2000,188350,Branco,Automático,Gasolina,2,10000.0,26
Honda,Civic,2000,65446,Preto,Manual,Gasolina,4,63908.8,26
Toyota,Corolla,2000,44666,Prata,Automático,Gasolina,4,72439.8,26
Honda,HR-V,2000,155340,Preto,Manual,Gasolina,2,40642.0,26
Hyundai,HB20,2000,54488,Preto,Automático,Diesel,4,46994.4,26
Honda,Fit,2000,120956,Vermelho,Manual,Diesel,2,54495.8,26
Hyundai,HB20S,2000,14245,Vermelho,Automático,Flex,4,48339.0,26
Renault,Duster,2000,165859,Vermelho,Manual,Flex,4,10000.0,26
Renault,Kwid,2000,184537,Prata,Manual,Flex,4,14026.6,26
Fiat,Argo,2000,152542,Preto,Manual,Diesel,4,14219.6,26
Volkswagen,T-Cross,2000,159894,Branco,Manual,Gasolina,2,19564.2,26
Renault,Kwid,2000,81605,Vermelho,Automático,Flex,2,29122.0,26
Volkswagen,Gol,2000,47136,Branco,Automático,Flex,2,38243.8,26
Fiat,Toro,2000,122911,Cinza,Automático,Gasolina,2,27625.8,26
Volkswagen,T-Cross,2000,154970,Preto,Manual,Flex,4,23414.0,26
Jeep,Renegade,2000,179501,Cinza,Automático,Gasolina,2,53813.8,26
Honda,Fit,2000,156991,Branco,Manual,Gasolina,2,45748.8,26
Honda,Fit,2000,150013,Prata,Manual,Gasolina,4,40647.4,26
Nissan,Versa,2000,9550,Cinza,Automático,Flex,4,61843.0,26
Volkswagen,Virtus,2000,142343,Branco,Manual,Gasolina,4,21413.4,26
Volkswagen,Virtus,2000,67792,Prata,Automático,Flex,4,32448.6,26
Jeep,Renegade,2000,93248,Cinza,Automático,Gasolina,4,74753.4,26
Fiat,Mobi,2000,29107,Cinza,Manual,Gasolina,2,45821.6,26
Chevrolet,Onix,2000,183406,Cinza,Manual,Gasolina,2,16868.799999999996,26
Volkswagen,Polo,2000,15431,Cinza,Manual,Gasolina,4,48341.8,26
Jeep,Compass,2000,128428,Branco,Automático,Diesel,2,65124.4,26
Hyundai,HB20,2000,159987,Azul,Automático,Diesel,2,26260.6,26
Ford,Ka,2000,15739,Prata,Manual,Diesel,2,54749.2,26
Fiat,Argo,2000,42164,Branco,Automático,Gasolina,2,43828.2,26
Chevrolet,Tracker,2000,1986,Prata,Manual,Flex,2,50925.8,26
Ford,EcoSport,2000,155584,Branco,Manual,Diesel,4,33838.2,26
Honda,Fit,2000,190646,Prata,Automático,Flex,2,41138.8,26
Chevrolet,S10,2000,151765,Cinza,Manual,Diesel,2,23464.000000000004,26
Renault,Kwid,2000,17602,Vermelho,Automático,Diesel,2,44110.6,26
Renault,Kwid,2000,87721,Preto,Automático,Diesel,4,31642.8,26
Volkswagen,Polo,2000,27400,Branco,Manual,Diesel,4,46906.0,26
Toyota,Yaris,2000,197183,Prata,Automático,Flex,4,43243.4,26
Fiat,Cronos,2000,17265,Cinza,Automático,Flex,4,44413.0,26
Nissan,Frontier,2000,7688,Vermelho,Manual,Gasolina,4,65843.4,26
Jeep,Compass,2000,110687,Preto,Manual,Gasolina,4,66688.6,26
Honda,HR-V,2000,714,Cinza,Manual,Gasolina,4,76763.2,26
Hyundai,HB20,2000,129196,Preto,Manual,Flex,4,34060.8,26
Renault,Sandero,2000,106342,Azul,Manual,Diesel,4,26296.6,26
Honda,Civic,2000,145277,Azul,Automático,Gasolina,4,48558.600000000006,26
Fiat,Toro,2000,68274,Vermelho,Automático,Flex,4,38991.2,26
Nissan,Frontier,2000,70472,Prata,Manual,Flex,4,50227.6,26
Honda,Fit,2000,23349,Preto,Manual,Diesel,4,74471.2,26
Toyota,Yaris,2000,81362,Azul,Manual,Flex,2,64585.6,26
Honda,Civic,2000,141908,Cinza,Automático,Diesel,2,44853.4,26
Ford,EcoSport,2000,56436,Branco,Manual,Gasolina,4,47785.8,26
Hyundai,HB20,2000,43604,Azul,Manual,Flex,4,42866.2,26
Honda,Fit,2000,86742,Azul,Automático,Diesel,4,56175.6,26
Fiat,Argo,2000,15096,Azul,Automático,Diesel,2,46666.8,26
Jeep,Renegade,2000,110239,Branco,Manual,Diesel,2,68504.2,26
Honda,HR-V,2000,96479,Prata,Manual,Flex,4,52783.2,26
Volkswagen,T-Cross,2000,179081,Prata,Automático,Gasolina,2,16274.800000000005,26
Honda,Civic,2000,42715,Cinza,Automático,Gasolina,2,62041.0,26
Fiat,Toro,2000,79569,Prata,Manual,Diesel,4,30182.2,26
Toyota,Hilux,2000,131623,Prata,Automático,Flex,4,54503.4,26
Renault,Kwid,2000,32567,Preto,Automático,Diesel,4,40436.6,26
Nissan,Frontier,2000,57039,Prata,Automático,Flex,2,52171.2,26
Honda,Fit,2000,88683,Preto,Manual,Flex,2,55762.4,26
Hyundai,HB20S,2000,68946,Branco,Manual,Gasolina,4,45523.8,26
Fiat,Mobi,2000,148867,Vermelho,Manual,Diesel,2,14384.600000000002,26
Jeep,Compass,2000,153487,Prata,Manual,Gasolina,4,62652.600000000006,26
Honda,HR-V,2000,106455,Preto,Manual,Gasolina,4,57293.0,26
Chevrolet,Tracker,2000,152996,Azul,Automático,Gasolina,2,17471.8,26
Fiat,Argo,2000,26907,Cinza,Automático,Gasolina,4,41069.6,26
Renault,Sandero,2000,617,Prata,Manual,Gasolina,4,44227.6,26
Chevrolet,S10,2000,46390,Vermelho,Manual,Diesel,4,45842.0,26
Renault,Duster,2000,70034,Vermelho,Manual,Flex,4,37655.2,26
Ford,Ranger,2000,17259,Branco,Manual,Flex,2,52636.2,26
Honda,HR-V,2000,146676,Azul,Manual,Diesel,2,45264.8,26
Hyundai,Creta,2000,155597,Preto,Manual,Gasolina,4,22141.6,26
Toyota,Corolla,2000,7825,Cinza,Automático,Flex,2,79422.0,26
Renault,Duster,2000,43327,Preto,Manual,Flex,4,36116.6,26
Renault,Sandero,2000,60159,Preto,Automático,Diesel,4,37257.2,26
Hyundai,Creta,2000,24802,Azul,Automático,Diesel,4,47103.6,26
Volkswagen,T-Cross,2000,96275,Azul,Automático,Diesel,2,33033.0,26
Toyota,Yaris,2000,152309,Cinza,Automático,Gasolina,4,50218.2,26
Honda,Civic,2000,197614,Vermelho,Automático,Gasolina,4,36699.2,26
Toyota,Corolla,2000,35453,Vermelho,Automático,Gasolina,4,75491.4,26
Volkswagen,Polo,2000,174159,Vermelho,Automático,Diesel,4,16694.200000000004,26
Toyota,Hilux,2000,13654,Prata,Manual,Flex,2,80128.2,26
Nissan,Versa,2000,119156,Cinza,Manual,Diesel,4,45394.8,26
Hyundai,HB20S,2000,90520,Preto,Automático,Gasolina,2,41341.0,26
Ford,EcoSport,2000,116888,Branco,Manual,Flex,2,37216.4,26
Nissan,Kicks,2000,18032,Preto,Manual,Diesel,2,62436.6,26
Toyota,Hilux,2000,177537,Branco,Automático,Gasolina,4,40421.6,26
Nissan,Frontier,2000,44690,Preto,Manual,Diesel,4,56700.0,26
Honda,Civic,2000,185711,Azul,Automático,Gasolina,2,37568.8,26
Renault,Duster,2000,53603,Branco,Automático,Flex,2,36782.4,26
Jeep,Compass,2000,133142,Branco,Manual,Flex,4,59231.600000000006,26
Renault,Kwid,2000,20936,Cinza,Manual,Gasolina,4,47364.8,26
Toyota,Hilux,2000,63304,Vermelho,Manual,Flex,4,66667.2,26
